name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Jarlinson Pantano,Trek - Segafredo,0,6,0,0,0,0,0,0,0,0,0,0
Mads Pedersen,Trek - Segafredo,0,6,1,1,1,1,0,0,0,0,0,0
Gregory Rast,Trek - Segafredo,0,6,1,1,1,1,0,0,0,0,0,0
Kiel Reijnen,Trek - Segafredo,0,6,0,0,0,0,0,0,0,0,0,0
Boy Van Poppel,Trek - Segafredo,0,6,1,1,1,1,0,0,0,0,0,0
John Darwin Atapuma,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Matteo Bono,UAE-Team Emirates,60,6,0,0,0,0,0,0,0,0,0,0
Simone Consonni,UAE-Team Emirates,0,6,1,1,1,1,0,0,0,0,0,0
Valerio Conti,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Kristijan Durasek,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Roberto Ferrari,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Vegard Stake Laengen,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Marco Marcato,UAE-Team Emirates,0,6,1,1,1,1,0,0,0,0,0,0
Przemyslaw Niemiec,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Simone Petilli,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Jan Polanc,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Alexandr Riabushenko,UAE-Team Emirates,0,6,0,0,0,0,0,0,0,0,0,0
Sean De Bie,Vérandas Willems-Crelan,0,6,1,1,1,1,1,0,0,0,0,0
Mathias De Witte,Vérandas Willems-Crelan,0,6,0,1,0,1,1,0,0,0,0,0
Huub Duijn,Vérandas Willems-Crelan,0,6,1,1,1,1,0,0,0,0,0,0
Michael Goolaerts,Vérandas Willems-Crelan,0,6,0,1,1,1,0,1,0,0,0,0
Tim Merlier,Vérandas Willems-Crelan,0,6,0,0,0,0,0,0,0,0,0,0
Kris Boeckmans,Vital Concept,0,6,0,1,0,1,1,0,0,0,0,0
Johan Le Bon,Vital Concept,0,6,1,0,0,1,0,0,0,0,0,0
Jérémy Lecroq,Vital Concept,0,6,1,1,0,0,1,0,0,0,0,0
Lorrenzo Manzin,Vital Concept,0,6,0,0,0,0,0,0,0,0,0,0
Quentin Pacher,Vital Concept,0,6,0,0,0,0,0,0,0,0,0,0
Kévin Réza,Vital Concept,0,6,0,0,0,0,1,0,0,0,0,0
Frederik Backaert,Wanty - Groupe Gobert,0,6,1,0,1,1,1,0,0,0,0,0
Jerome Baugnies,Wanty - Groupe Gobert,0,6,0,0,0,0,0,0,0,0,0,0
Bart De Clercq,Wanty - Groupe Gobert,0,6,0,0,0,0,0,0,0,0,0,0
Tom Devriendt,Wanty - Groupe Gobert,0,6,1,0,1,0,1,0,0,0,0,0
Timothy Dupont,Wanty - Groupe Gobert,0,6,0,1,0,0,1,0,0,0,0,0
Mark McNally,Wanty - Groupe Gobert,0,6,0,0,0,0,0,0,0,0,0,0
Xandro Meurisse,Wanty - Groupe Gobert,0,6,0,0,0,0,0,0,0,0,1,1
Marco Minnaard,Wanty - Groupe Gobert,0,6,0,0,0,0,0,0,0,0,0,0
Yoann Offredo,Wanty - Groupe Gobert,0,6,1,1,0,1,0,0,0,0,0,0
Andrea Pasqualon,Wanty - Groupe Gobert,0,6,0,1,1,1,0,0,0,0,0,0
Dion Smith,Wanty - Groupe Gobert,0,6,0,0,1,1,0,0,0,0,0,0
Guillaume Van Keirsbulck,Wanty - Groupe Gobert,0,6,1,1,1,1,1,0,0,0,0,0
